State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Sex_Ratio,Litercay_Rate
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,517666,316911,1753829,241760,1342,170,60,133,81,1098.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,1340085,815253,3652168,818912,3262,564,328,442,169,1079.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,473741,328076,1252319,110416,1815,338,95,145,61,1141.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,1487117,1022115,4032773,745546,5149,933,288,382,98,1112.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,919558,600375,2669775,198033,1978,393,414,561,64,1084.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,659474,431538,1964620,244394,1299,250,176,279,80,1065.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,1091226,668255,3047427,865090,8469,926,1337,296,1895,1100.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,2028047,1431632,5356075,439952,12551,4803,1062,2151,203,1115.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,1407603,869354,4086453,990349,4865,668,878,464,104,1109.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,805261,527065,1989420,1255641,7989,614,353,1450,650,1086.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1061783,738049,2645415,300487,2889,2569,1584,252,537,1090.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,506374,298622,1629254,266620,1292,197,60,109,8,1104.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,1293575,849305,3800598,452370,2126,554,292,231,112,1098.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,1285767,871687,3534772,406449,2330,371,229,322,107,1049.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,196431,132245,596102,37653,313,75,41,43,31,1075.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,171645,112053,552492,99342,522,216,73,52,44,1120.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,885188,551606,2672311,740101,2897,261,253,188,20,1113.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1115906,814269,2712635,608282,2618,369,407,359,86,1012.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,647672,385611,1809936,409251,3758,271,136,546,42,1076.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1152576,774164,3152346,333980,2203,707,362,246,71,1118.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,465346,340092,852574,51447,8720,138329,1160,1960,246,1223.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,382335,268528,1277975,12413,27951,2099,985,3466,86925,977.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,155599,132021,371973,6984,236,2387,113,10,7,1019.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,932474,664086,2540763,57973,20745,6373,2979,2357,29122,1030.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,303924,242909,777188,10425,2644,1196,667,3612,3685,990.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1284612,1018766,3129745,83499,24304,24276,19587,17209,42569,1012.0,69.0
Chhattisgarh,Jashpur,22.772861676646695,83.8703962075848,402,851669,280656,214759,629509,15336,189588,474,467,694,14835,995.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,433391,315368,1133176,30195,21059,3666,897,753,15649,1032.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,229923,167900,604259,25878,9398,1391,84,1155,15474,1033.0,60.0
Chhattisgarh,Mahasamund,21.22372703777335,82.65925427435384,411,1032754,364089,273874,1008061,12570,5284,2941,521,1495,1417,983.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,542756,408883,1422986,17332,47653,2117,781,409,1782,1009.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1059692,880302,2239370,227465,17452,7477,121791,12260,1159,1042.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,1493158,1136591,3881485,103038,23181,16707,8397,17137,10680,1016.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,694686,493255,2126195,81442,97432,2303,1287,623,48295,1023.0,50.0
Daman and Diu,Daman,20.43161666666667,72.8392366071429,495,191173,104316,46032,171537,16087,2618,169,216,244,79,1874.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1046981,795837,2397056,334858,2586,1110,1291,3841,77,1049.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,351738,311322,622213,57941,134169,618,553,546,166,1038.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,264085,238342,341664,63623,231961,855,542,563,92,1014.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3025463,2410297,6042416,883238,50754,14542,4518,209287,2055,1106.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,558180,437279,1410463,99105,919,415,243,2053,40,1038.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,874481,676772,1798794,250919,29789,1524,267,8591,142,1081.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1048402,656521,2890305,213505,1686,486,281,12659,83,1066.0,55.0
Gujarat,Bharuch,21.757872762377612,72.67326346710801,488,1551019,623047,495229,1188204,343511,9494,1733,442,4813,342,1081.0,72.0
Gujarat,Bhavnagar,21.702193903417356,72.16272632761141,481,2880365,1087371,799884,2632574,212863,3457,1410,445,26974,127,1072.0,66.0
Gujarat,Gandhinagar,23.193679790026255,72.67221679790026,473,1391753,582686,447808,1319586,57273,3237,1985,497,6405,82,1084.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,795140,601394,1810443,320805,4392,1873,1086,18856,136,1065.0,65.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1046981,795837,2397056,334858,2586,1110,1291,3841,77,1049.0,67.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,739239,513080,1608921,442355,6192,6353,490,25312,98,1102.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,942480,717763,2000884,264482,26629,1403,300,3479,82,1064.0,72.0
